source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
video_persize,video_birds_birds_in_slow_motion_flying_various_sizes_compilation,baseline_trained,S0_detector,large,0,46,0,0,271,0.0,0.0,0.0,
video_persize,video_birds_distant_birds_flying_in_the_sky_short,baseline_trained,S0_detector,small,0,1,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_distant_birds_flying_in_the_sky_short,baseline_trained,S0_detector,medium,0,1,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_distant_birds_flying_in_the_sky_short,baseline_trained,S0_detector,large,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_short,baseline_trained,S0_detector,small,0,0,0,0,21,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_short,baseline_trained,S0_detector,medium,0,0,0,0,21,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_short,baseline_trained,S0_detector,large,0,0,0,0,21,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_sunset,baseline_trained,S0_detector,small,0,3,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_sunset,baseline_trained,S0_detector,medium,0,3,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_sunset,baseline_trained,S0_detector,large,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_airplanes_airplanes_compilation,baseline_trained,S0_detector,small,0,5,0,0,249,0.0,0.0,0.0,
video_persize,video_airplanes_airplanes_compilation,baseline_trained,S0_detector,medium,0,48,0,0,249,0.0,0.0,0.0,
video_persize,video_airplanes_airplanes_compilation,baseline_trained,S0_detector,large,0,51,0,0,249,0.0,0.0,0.0,
video_persize,video_airplanes_distant_airplane_over_head_flying_away,baseline_trained,S0_detector,small,0,20,0,0,55,0.0,0.0,0.0,
video_persize,video_airplanes_distant_airplane_over_head_flying_away,baseline_trained,S0_detector,medium,0,13,0,0,55,0.0,0.0,0.0,
video_persize,video_airplanes_distant_airplane_over_head_flying_away,baseline_trained,S0_detector,large,0,0,0,0,55,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_compilation,baseline_trained,S0_detector,small,0,0,0,0,554,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_compilation,baseline_trained,S0_detector,medium,0,82,0,0,554,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_compilation,baseline_trained,S0_detector,large,0,58,0,0,554,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_short,baseline_trained,S0_detector,small,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_short,baseline_trained,S0_detector,medium,0,6,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_short,baseline_trained,S0_detector,large,0,2,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_very_small_airplane_in_background,baseline_trained,S0_detector,small,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_very_small_airplane_in_background,baseline_trained,S0_detector,medium,0,13,0,0,20,0.0,0.0,0.0,
video_persize,video_helicopters_helicopter_overhead_very_small_airplane_in_background,baseline_trained,S0_detector,large,0,4,0,0,20,0.0,0.0,0.0,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,retrained_v2,S0_detector,small,9,6,40,49,114,0.6,0.1837,0.2812,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,retrained_v2,S0_detector,medium,18,1,48,66,114,0.9474,0.2727,0.4235,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,retrained_v2,S0_detector,large,0,0,0,0,114,0.0,0.0,0.0,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,retrained_v2,S0_detector,small,0,0,2,2,108,0.0,0.0,0.0,
